Animal,Cage,Label,Species,Strain,BiologicalSex,Treatment
150,143A,150-01-01,Rat,ZDF,Male,Saline
151,143B,151-01-02,Rat,ZDF,Male,Saline
152,145A,152-01-03,Rat,ZDF,Male,Saline
153,145B,153-01-04,Rat,ZDF,Male,Saline
154,142A,154-03-05,Rat,ZDF,Male,NP-PD
155,142 B,155-03-06,Rat,ZDF,Male,NP-PD
156,147,156-01-07,Rat,ZDF,Male,Saline
157,642,157-02-08,Rat,ZDF,Male,NP
158,643,158-03-09,Rat,ZDF,Male,NP-PD
159,146 A,159-03-10,Rat,ZDF,Male,NP-PD
160,146B,160-03-11,Rat,ZDF,Male,NP-PD
161,144A,,Rat,ZDF,Male,NP
162,144B,162-02-12,Rat,ZDF,Male,NP
163,148,163-02-13,Rat,ZDF,,NP
164,649/148,164-02-14,Rat,ZDF,Male,NP
165,139A,165-05-15,Rat,Wistar,Male,NP
166,139B,166-05-16,Rat,Wistar,Male,NP
167,644,167-04-17,Rat,Wistar,Male,Saline
168,141 A,168-04-18,Rat,Wistar,Male,Saline
169,141 B,169-04-19,Rat,Wistar,Male,Saline
170,140A,170-05-20,Rat,Wistar,Male,NP
171,140B,171-05-21,Rat,Wistar,Male,NP
172,645,172-05-22,Rat,Wistar,Male,NP
173,138 A,173-04-23,Rat,Wistar,Male,Saline
174,138 B,174-04-24,Rat,Wistar,Male,Saline
